,Artist,Rating,Song,Year
89,Kool and The Gang,90,Tonight,1984
90,Christine McVie,91,Got A Hold On Me,1984
91,Shalamar,92,Dancing In The Sheets,1984
92,Rolling Stones,93,Undercover Of The Night,1984
93,John Cafferty and The Beaver Brown Band,94,On The Dark Side,1984
94,Duran Duran,95,New Moon On Monday,1984
95,Peter Schilling,96,Major Tom (Coming Home),1984
96,Cars,97,Magic,1984
97,Night Ranger,98,When You Close Your Eyes,1984
98,Billy Squier,99,Rock Me Tonite,1984
99,James Ingram and Michael McDonald,100,Yah Mo B There,1984
0,Wham!,1,Careless Whisper,1985
1,Madonna,2,Like A Virgin,1985
2,Wham!,3,Wake Me Up Before You Go-Go,1985
3,Foreigner,4,I Want To Know What Love Is,1985
4,Chaka Khan,5,I Feel For You,1985
5,Daryl Hall and John Oates,6,Out Of Touch,1985
6,Tears For Fears,7,Everybody Wants To Rule The World,1985
7,Dire Straits,8,Money For Nothing,1985
8,Madonna,9,Crazy For You,1985
9,A-Ha,10,Take On Me,1985
10,Paul Young,11,Everytime You Go Away,1985
11,Phil Collins and Philip Bailey,12,Easy Lover,1985
12,REO Speedwagon,13,Can’t Fight This Feeling,1985
13,Starship,14,We Built This City,1985
14,Huey Lewis and The News,15,The Power Of Love,1985
15,Simple Minds,16,Don’t You (Forget About Me),1985
16,Kool and The Gang,17,Cherish,1985
17,John Parr,18,St. Elmo’s Fire (Man In Motion),1985
18,Glenn Frey,19,The Heat Is On,1985
19,U.S.A. For Africa,20,We Are The World,1985
20,Tears For Fears,21,Shout,1985
21,Stevie Wonder,22,Part-Time Lover,1985
22,Whitney Houston,23,Saving All My Love For You,1985
23,Bryan Adams,24,Heaven,1985
24,Wham!,25,Everything She Wants,1985
25,New Edition,26,Cool It Now,1985
26,Jan Hammer,27,Miami Vice Theme,1985
27,Billy Ocean,28,Lover Boy,1985
28,Teena Marie,29,Lover Girl,1985
29,Glenn Frey,30,You Belong To The City,1985
30,Ready For The World,31,Oh Sheila,1985
31,Debarge,32,Rhythm Of The Night,1985
32,Phil Collins,33,One More Night,1985
33,Honeydrippers,34,Sea Of Love,1985
34,Duran Duran,35,A View To A Kill,1985
35,Duran Duran,36,The Wild Boys,1985
36,Chicago,37,You’re The Inspiration,1985
37,Pointer Sisters,38,Neutron Dance,1985
38,Pat Benatar,39,We Belong,1985
39,Commodores,40,Nightshift,1985
40,Howard Jones,41,Things Can Only Get Better,1985
41,Jack Wagner,42,All I Need,1985
42,Aretha Franklin,43,Freeway Of Love,1985
43,Corey Hart,44,Never Surrender,1985
44,Phil Collins,45,Sussudio,1985
45,Sheena Easton,46,Strut,1985
46,Whitney Houston,47,You Give Good Love,1985
47,Survivor,48,The Search Is Over,1985
48,Diana Ross,49,Missing You,1985
49,Phil Collins and Marilyn Martin,50,Separate Lives,1985
50,Prince and The Revolution,51,Raspberry Beret,1985
51,Billy Ocean,52,Suddenly,1985
52,Don Henley,53,The Boys Of Summer,1985
53,Murray Head,54,One Night In Bangkok,1985
54,Sting,55,If You Love Somebody Set Them Free,1985
55,Animotion,56,Obsession,1985
56,Tina Turner,57,We Don’t Need Another Hero,1985
57,Madonna,58,Material Girl,1985
58,Tina Turner,59,Better Be Good To Me,1985
59,Tears For Fears,60,Head Over Heels,1985
60,Harold Faltermeyer,61,Axel F,1985
61,Sade,62,Smooth Operator,1985
62,Mary Jane Girls,63,In My House,1985
63,Phil Collins,64,Don’t Lose My Number,1985
64,Cyndi Lauper,65,All Through The Night,1985
65,Bryan Adams,66,Run To You,1985
66,Bruce Springsteen,67,Glory Days,1985
67,‘Til Tuesday,68,Voices Carry,1985
68,Kool and The Gang,69,Misled,1985
69,Eurythmics,70,Would I Lie To You?,1985
70,ABC,71,Be Near Me,1985
71,Paul McCartney,72,No More Lonely Nights,1985
72,Survivor,73,I Can’t Hold Back,1985
73,Bryan Adams,74,Summer Of ’69,1985
74,Katrina and The Waves,75,Walking On Sunshine,1985
75,Wham!,76,Freedom,1985
76,Julian Lennon,77,Too Late For Goodbyes,1985
77,Julian Lennon,78,Valotte,1985
78,Power Station,79,Some Like It Hot,1985
79,Ashford and Simpson,80,Solid,1985
80,Madonna,81,Angel,1985
81,Bruce Springsteen,82,I’m On Fire,1985
82,Daryl Hall and John Oates,83,Method Op Modern Love,1985
83,Thompson Twins,84,Lay Your Hands On Me,1985
84,Debarge,85,Who’s Holding Donna Now,1985
85,John Cougar Mellencamp,86,Lonely Ol’ Night,1985
86,Heart,87,What About Love,1985
87,David Lee Roth,88,California Girls,1985
88,Kool and The Gang,89,Fresh,1985
89,Jermaine Jackson,90,Do What You Do,1985
90,The Time,91,Jungle Of Love,1985
91,Bruce Springsteen,92,Born In The USA,1985
92,Tina Turner,93,Private Dancer,1985
93,Aretha Franklin,94,Who’s Zoomin’ Who,1985
94,Sting,95,Fortress Around Your Heart,1985
95,Lionel Richie,96,Penny Lover,1985
96,Don Henley,97,All She Wants To Do Is Dance,1985
97,Madonna,98,Dress You Up,1985
98,Night Ranger,99,Sentimental Street,1985
99,Sheena Easton,100,Sugar Walls,1985
0,Dionne and Friends,1,That’s What Friends Are For,1986
1,Lionel Richie,2,"Say You, Say Me",1986
2,Klymaxx,3,I Miss You,1986
3,Patti Labelle and Michael McDonald,4,On My Own,1986
4,Mr. Mister,5,Broken Wings,1986
5,Whitney Houston,6,How Will I Know,1986
6,Eddie Murphy,7,Party All The Time,1986
7,Survivor,8,Burning Heart,1986
8,Mr. Mister,9,Kyrie,1986
9,Robert Palmer,10,Addicted To Love,1986
10,Whitney Houston,11,Greatest Love Of All,1986
11,Atlantic Starr,12,Secret Lovers,1986
12,Carl Anderson and Gloria Loring,13,Friends And Lovers,1986
13,Peter Cetera,14,Glory Of Love,1986
14,Pet Shop Boys,15,West End Girls,1986
15,Billy Ocean,16,There’ll Be Sad Songs,1986
16,Simple Minds,17,Alive And Kicking,1986
17,Heart,18,Never,1986
18,Prince and The Revolution,19,Kiss,1986
19,Steve Winwood,20,Higher Love,1986
20,Huey Lewis and The News,21,Stuck With You,1986
21,Simply Red,22,Holding Back The Years,1986
22,Peter Gabriel,23,Sledgehammer,1986
23,Starship,24,Sara,1986
24,Human League,25,Human,1986
25,Nu Shooz,26,I Can’t Wait,1986
26,Berlin,27,Take My Breath Away,1986
27,Falco,28,Rock Me Amadeus,1986
28,Madonna,29,Papa Don’t Preach,1986
29,Bon Jovi,30,You Give Love A Bad Name,1986
30,Billy Ocean,31,When The Going Gets Tough,1986
31,Janet Jackson,32,When I Think Of You,1986
32,Heart,33,These Dreams,1986
33,Glass Tiger,34,Don’t Forget Me (When I’m Gone),1986
34,Madonna,35,Live To Tell,1986
35,Belinda Carlisle,36,Mad About You,1986
36,Level 42,37,Something About You,1986
37,Bananarama,38,Venus,1986
38,Lionel Richie,39,Dancing On The Ceiling,1986
39,Miami Sound Machine,40,Conga,1986
40,Cyndi Lauper,41,True Colors,1986
41,Kenny Loggins,42,Danger Zone,1986
42,Janet Jackson,43,What Have You Done For Me Lately,1986
43,Howard Jones,44,No One Is To Blame,1986
44,Sly Fox,45,Let’s Go All The Way,1986
45,Robert Palmer,46,I Didn’t Mean To Turn You On,1986
46,Miami Sound Machine,47,Words Get In The Way,1986
47,Bangles,48,Manic Monday,1986
48,Dire Straits,49,Walk Of Life,1986
49,Boston,50,Amanda,1986
50,Stacey Q,51,Two Of Hearts,1986
51,Jets,52,Crush On You,1986
52,Orchestral Manoeuvres In The Dark,53,If You Leave,1986
53,Genesis,54,Invisible Touch,1986
54,Sade,55,The Sweetest Taboo,1986
55,INXS,56,What You Need,1986
56,Stevie Nicks,57,Talk To Me,1986
57,Janet Jackson,58,Nasty,1986
58,Eddie Money,59,Take Me Home Tonight,1986
59,Jermaine Stewart,60,We Don’t Have To Take Our Clothes Off,1986
60,Lisa Lisa and Cult Jam With Full Force,61,All Cried Out,1986
61,Outfield,62,Your Love,1986
62,Wham!,63,I’m Your Man,1986
63,Scritti Politti,64,Perfect Way,1986
64,James Brown,65,Living In America,1986
65,John Cougar Mellencamp,66,R.O.C.K. In The U.S.A.,1986
66,El Debarge,67,Who’s Johnny,1986
67,Cameo,68,Word Up,1986
68,Van Halen,69,Why Can’t This Be Love,1986
69,Mike and The Mechanics,70,Silent Running,1986
70,Tina Turner,71,Typical Male,1986
71,John Cougar Mellencamp,72,Small Town,1986
72,Baltimora,73,Tarzan Boy,1986
73,Mike and The Mechanics,74,All I Need Is A Miracle,1986
74,Michael McDonald,75,Sweet Freedom,1986
75,Madonna,76,True Blue,1986
76,Timex Social Club,77,Rumors,1986
77,Dream Academy,78,Life In A Northern Town,1986
78,Miami Sound Machine,79,Bad Boy,1986
79,ZZ Top,80,Sleeping Bag,1986
80,Cars,81,Tonight She Comes,1986
81,Rod Stewart,82,Love Touch,1986
82,Sheila E.,83,A Love Bizarre,1986
83,Genesis,84,Throwing It All Away,1986
84,Regina,85,Baby Love,1986
85,Arcadia,86,Election Day,1986
86,Elton John,87,Nikita,1986
87,Phil Collins,88,Take Me Home,1986
88,Run-D.M.C.,89,Walk This Way,1986
89,Anita Baker,90,Sweet Love,1986
90,Moody Blues,91,Your Wildest Dreams,1986
91,Paul McCartney,92,Spies Like Us,1986
92,Starpoint,93,Object Of My Desire,1986
93,Daryl Hall,94,Dreamtime,1986
94,Force M.D.’s,95,Tender Love,1986
95,Thompson Twins,96,King For A Day,1986
96,Lionel Richie,97,Love Will Conquer All,1986
97,George Michael,98,A Different Corner,1986
98,Toto,99,I’ll Be Over You,1986
99,Stevie Wonder,100,Go Home,1986
0,Bangles,1,Walk Like An Egyptian,1987
1,Heart,2,Alone,1987
2,Gregory Abbott,3,Shake You Down,1987
3,Whitney Houston,4,I Wanna Dance With Somebody (Who Loves Me),1987
4,Starship,5,Nothing’s Gonna Stop Us Now,1987
5,Robbie Nevil,6,C’est La Vie,1987
6,Whitesnake,7,Here I Go Again,1987
7,Bruce Hornsby and The Range,8,The Way It Is,1987
8,Bob Seger,9,Shakedown,1987
9,Bon Jovi,10,Livin’ On A Prayer,1987
10,Los Lobos,11,La Bamba,1987
11,Wang Chung,12,Everybody Have Fun Tonight,1987
12,Crowded House,13,Don’t Dream It’s Over,1987
13,Atlantic Starr,14,Always,1987
14,U2,15,With Or Without You,1987
15,Jody Watley,16,Looking For A New Love,1987
16,Lisa Lisa and Cult Jam,17,Head To Toe,1987
17,Tiffany,18,I Think We’re Alone Now,1987
18,Billy Idol,19,Mony Mony,1987
19,Billy Vera and The Beaters,20,At This Moment,1987
20,Chris De Burgh,21,The Lady In Red,1987
21,Whitney Houston,22,Didn’t We Almost Have It All,1987
22,U2,23,I Still Haven’t Found What I’m Looking For,1987
23,George Michael,24,I Want Your Sex,1987
24,Duran Duran,25,Notorious,1987
25,Debbie Gibson,26,Only In My Dreams,1987
26,Bill Medley and Jennifer Warnes,27,(I’ve Had) The Time Of My Life,1987
27,Peter Cetera and Amy Grant,28,The Next Time I Fall,1987
28,Club Nouveau,29,Lean On Me,1987
29,Madonna,30,Open Your Heart,1987
30,Lisa Lisa and Cult Jam,31,Lost In Emotion,1987
31,Cutting Crew,32,(I Just) Died In Your Arms,1987
32,T’pau,33,Heart And Soul,1987
33,Kim Wilde,34,You Keep Me Hangin’ On,1987
34,Georgia Satellites,35,Keep Your Hands To Yourself,1987
35,Aretha Franklin and George Michael,36,I Knew You Were Waiting (For Me),1987
36,Janet Jackson,37,Control,1987
37,Prince,38,U Got The Look,1987
38,Linda Ronstadt and James Ingram,39,Somewhere Out There,1987
39,Genesis,40,Land Of Confusion,1987
40,Huey Lewis and The News,41,Jacob’s Ladder,1987
41,Madonna,42,Who’s That Girl,1987
42,Jets,43,You Got It All,1987
43,Samantha Fox,44,Touch Me (I Want Your Body),1987
44,Michael Jackson and Siedah Garrett,45,I Just Can’t Stop Loving You,1987
45,Madonna,46,Causing A Commotion,1987
46,Genesis,47,In Too Deep,1987
47,Janet Jackson,48,Let’s Wait Awhile,1987
48,Huey Lewis and The News,49,Hip To Be Square,1987
49,Chicago,50,Will You Still Love Me?,1987
50,Fleetwood Mac,51,Little Lies,1987
51,Suzanne Vega,52,Luka,1987
52,Bananarama,53,I Heard A Rumour,1987
53,Richard Marx,54,Don’t Mean Nothing,1987
54,Kenny G,55,Songbird,1987
55,Europe,56,Carrie,1987
56,System,57,Don’t Disturb This Groove,1987
57,Madonna,58,La Isla Bonita,1987
58,Michael Jackson,59,Bad,1987
59,Prince,60,Sign ‘O’ The Times,1987
60,Cyndi Lauper,61,Change Of Heart,1987
61,Expose,62,Come Go With Me,1987
62,Dan Hill,63,Can’t We Try,1987
63,Billy Idol,64,To Be A Lover,1987
64,Bruce Hornsby and The Range,65,Mandolin Rain,1987
65,Swing Out Sister,66,Breakout,1987
66,Ben E. King,67,Stand By Me,1987
67,Genesis,68,"Tonight, Tonight, Tonight",1987
68,Glass Tiger,69,Someday,1987
69,ABC,70,When Smokey Sings,1987
70,Levert,71,Casanova,1987
71,Gloria Estefan and Miami Sound Machine,72,Rhythm Is Gonna Get You,1987
72,Whispers,73,Rock Steady,1987
73,Bon Jovi,74,Wanted Dead Or Alive,1987
74,Peter Gabriel,75,Big Time,1987
75,Steve Winwood,76,The Finer Things,1987
76,Expose,77,Let Me Be The One,1987
77,Survivor,78,Is This Love,1987
78,Herb Alpert,79,Diamonds,1987
79,Expose,80,Point Of No Return,1987
80,Fleetwood Mac,81,Big Love,1987
81,Lou Gramm,82,Midnight Blue,1987
82,Crowded House,83,Something So Strong,1987
83,Bryan Adams,84,Heat Of The Night,1987
84,Glenn Medeiros,85,Nothing’s Gonna Change My Love For You,1987
85,Bruce Springsteen,86,Brilliant Disguise,1987
86,Smokey Robinson,87,Just To See Her,1987
87,Heart,88,Who Will You Run Too,1987
88,Bruce Willis,89,Respect Yourself,1987
89,Jets,90,Cross My Broken Heart,1987
90,Kool and The Gang,91,Victory,1987
91,Pretenders,92,Don’t Get Me Wrong,1987
92,Huey Lewis and The News,93,Doing It All For My Baby,1987
93,Breakfast Club,94,Right On Track,1987
94,Lionel Richie,95,Ballerina Girl,1987
95,Kenny Loggins,96,Meet Me Half Way,1987
96,Cutting Crew,97,I’ve Been In Love Before,1987
97,Beastie Boys,98,(You Gotta) Fight For Your Right (To Party),1987
98,Pseudo Echo,99,Funkytown,1987
99,Ready For The World,100,Love You Down,1987
0,George Michael,1,Faith,1988
1,INXS,2,Need You Tonight,1988
2,George Harrison,3,Got My Mind Set On You,1988
3,Rick Astley,4,Never Gonna Give You Up,1988
4,Guns N’ Roses,5,Sweet Child O’ Mine,1988
5,Whitney Houston,6,So Emotional,1988
6,Belinda Carlisle,7,Heaven Is A Place On Earth,1988
7,Tiffany,8,Could’ve Been,1988
8,Breathe,9,Hands To Heaven,1988
9,Steve Winwood,10,Roll With It,1988
10,George Michael,11,One More Try,1988
11,Terence Trent d’Arby,12,Wishing Well,1988
12,Gloria Estefan and Miami Sound Machine,13,Anything For You,1988
13,Cheap Trick,14,The Flame,1988
14,Billy Ocean,15,"Get Outta My Dreams, Get Into My Car",1988
15,Expose,16,Seasons Change,1988
16,Whitesnake,17,Is This Love,1988
17,Escape Club,18,"Wild, Wild West",1988
18,Def Leppard,19,Pour Some Sugar On Me,1988
19,Taylor Dayne,20,I’ll Always Love You,1988
20,Michael Jackson,21,Man In The Mirror,1988
21,Debbie Gibson,22,Shake Your Love,1988
22,Robert Palmer,23,Simply Irresistible,1988
23,Richard Marx,24,Hold On To The Nights,1988
24,Eric Carnen,25,Hungry Eyes,1988
25,Johnny Hates Jazz,26,Shattered Dreams,1988
26,George Michael,27,Father Figure,1988
27,Samantha Fox,28,Naughty Girls (Need Love Too),1988
28,Phil Collins,29,A Groovy Kind Of Love,1988
29,Def Leppard,30,Love Bites,1988
30,Richard Marx,31,Endless Summer Nights,1988
31,Debbie Gibson,32,Foolish Beat,1988
32,Whitney Houston,33,Where Do Broken Hearts Go,1988
33,Aerosmith,34,Angel,1988
34,Bangles,35,Hazy Shade Of Winter,1988
35,Michael Jackson,36,The Way You Make Me Feel,1988
36,Bobby McFerrin,37,"Don’t Worry, Be Happy",1988
37,Eric Carnen,38,Make Me Lose Control,1988
38,UB40,39,Red Red Wine,1988
39,Patric Swayze,40,She’s Like The Wind,1988
40,Bon Jovi,41,Bad Medicine,1988
41,Beach Boys,42,Kokomo,1988
42,Elton John,43,I Don’t Wanna Go On With You Like That,1988
43,Rick Astley,44,Together Forever,1988
44,George Michael,45,Monkey,1988
45,INXS,46,Devil Inside,1988
46,Richard Marx,47,Should’ve Known Better,1988
47,Chicago,48,I Don’t Wanna Live Without Your Love,1988
48,Kylie Minogue,49,The Loco-Motion,1988
49,Pet Shop Boys and Dusty Springfield,50,What Have I Done To Deserve This?,1988
50,Jets,51,Make It Real,1988
51,Information Society,52,What’s On Your Mind,1988
52,Taylor Dayne,53,Tell It To My Heart,1988
53,Debbie Gibson,54,Out Of The Blue,1988
54,Jody Watley,55,Don’t You Want Me,1988
55,U2,56,Desire,1988
56,Belinda Carlisle,57,I Get Weak,1988
57,Terence Trent d’Arby,58,Sign Your Name,1988
58,Roger,59,I Want To Be Your Man,1988
59,Pebbles,60,Girlfriend,1988
60,Michael Jackson,61,Dirty Diana,1988
61,Gloria Estefan and Miami Sound Machine,62,1 2 3 4,1988
62,Pebbles,63,Mercedes Boy,1988
63,Huey Lewis and The News,64,Perfect World,1988
64,INXS,65,New Sensation,1988
65,Pretty Poison,66,Catch Me (I’m Falling),1988
66,New Edition,67,If It Isn’t Love,1988
67,Jets,68,Rocket 2 U,1988
68,Peter Cetera,69,One Good Woman,1988
69,Cheap Trick,70,Don’t Be Cruel,1988
70,Elton John,71,Candle In The Wind,1988
71,Daryl Hall and John Oates,72,Everything Your Heart Desires,1988
72,Foreigner,73,Say You Will,1988
73,Keith Sweat,74,I Want Her,1988
74,Natalie Cole,75,Pink Cadillac,1988
75,Tracy Chapman,76,Fast Car,1988
76,Icehouse,77,Electric Blue,1988
77,Bruce Hornsby and The Range,78,The Valley Road,1988
78,Bobby Brown,79,Don’t Be Cruel,1988
79,Pet Shop Boys,80,Always On My Mind,1988
80,Brenda Russell feat. Joe Esposito,81,Piano In The Dark,1988
81,Van Halen,82,When It’s Love,1988
82,Paul Carrack,83,Don’t Shed A Tear,1988
83,Sting,84,We’ll Be Together,1988
84,Joan Jett and The Blackhearts,85,I Hate Myself For Loving You,1988
85,Foreigner,86,I Don’t Want To Live Without You,1988
86,Al B. Sure!,87,Nite And Day,1988
87,Steve Winwood,88,Don’t You Know What The Night Can Do,1988
88,Whitney Houston,89,One Moment In Time,1988
89,Gloria Estefan and Miami Sound Machine,90,Can’t Stay Away From You,1988
90,George Michael,91,Kissing A Fool,1988
91,John Cougar Mellancamp,92,Cherry Bomb,1988
92,Brenda K. Starr,93,I Still Believe,1988
93,Cher,94,I Found Someone,1988
94,INXS,95,Never Tear Us Apart,1988
95,Steve Windwood,96,Valerie,1988
96,David Lee Roth,97,Just Like Paradise,1988
97,Poison,98,Nothin’ But A Good Time,1988
98,White Lion,99,Wait,1988
99,Taylor Dayne,100,Prove Your Love,1988
0,Chicago,1,Look Away,1989
1,Bobby Brown,2,My Prerogative,1989
2,Poison,3,Every Rose Has Its Thorn,1989
3,Paula Abdul,4,Straight Up,1989
4,Janet Jackson,5,Miss You Much,1989
5,Paula Abdul,6,Cold Hearted,1989
6,Bette Midler,7,Wind Beneath My Wings,1989
7,Milli Vanilli,8,Girl You Know Its True,1989
8,Will To Power,9,"Baby, I Love Your Way-Freebird",1989
9,Anita Baker,10,Giving You The Best That I Got,1989
10,Richard Marx,11,Right Here Waiting,1989
11,Boy Meets Girl,12,Waiting For A Star To Fall,1989
12,Debbie Gibson,13,Lost In Your Eyes,1989
13,Gloria Estefan,14,Don’t Wanna Lose You,1989
14,Warrant,15,Heavan,1989
15,Milli Vanilli,16,Girl I’m Gonna Miss You,1989
16,Roxette,17,The Look,1989
17,Fine Young Cannibals,18,She Drives Me Crazy,1989
18,Bobby Brown,19,On Our Own,1989
19,Phil Collins,20,Two Hearts,1989
20,Milli Vanilli,21,Blame It On The Rain,1989
21,Roxette,22,Listen To Your Heart,1989
22,Bon Jovi,23,I’ll Be There For You,1989
23,Simply Red,24,If You Don’t Know Be By Now,1989
24,Madonna,25,Like A Prayer,1989
25,New Kids On The Block,26,I’ll Be Loving You (Forever),1989
26,Breathe,27,How Can I Fall?,1989
27,Milli Vanilli,28,Baby Don’t Forget My Number,1989
28,Martika,29,Toy Solider,1989
29,Paula Abdul,30,Forever Your Girl.,1989
30,Mike and The Mechanics,31,The Living Years,1989
31,The Bangles,32,Eternal Flame,1989
32,Tone Loc,33,Wild Thing,1989
33,Bad English,34,When I See You Smile,1989
34,Cher,35,If I Could Turn Back Time,1989
35,Neneh Cherry,36,Buffalo Stance,1989
36,Sheriff,37,When I’m With You,1989
37,Taylor Dayne,38,Don’t Rush Me,1989
38,Bon Jovi,39,Born To Be My Baby,1989
39,Fine Young Cannibals,40,Good Thing,1989
40,Sheena Easton,41,The Lover In Me,1989
41,Young M.C.,42,Bust A Move,1989
42,Great White,43,"Once Bitten, Twice Shy",1989
43,Prince,44,Batdance,1989
44,Michael Damian,45,Rock On,1989
45,Jody Watley,46,Real Love,1989
46,B-52’s,47,Love Shack,1989
47,Bobby Brown,48,Every Little Step,1989
48,New Kids On The Block,49,Hangin’ Tough,1989
49,Rod Stewart,50,My Heart Can’t Tell You No,1989
50,Love and Rockets,51,So Alive,1989
51,New Kids On The Block,52,You Got It (The Right Stuff),1989
52,Def Leppard,53,Armageddon It,1989
53,Richard Marx,54,Satisfied,1989
54,Madonna,55,Express Yourself,1989
55,Dino,56,I Like It,1989
56,Donny Osmond,57,Soldier Of Love,1989
57,Tears For Fears,58,Sowing The Seeds Of Love,1989
58,Madonna,59,Cherish,1989
59,White Lion,60,When The Children Cry,1989
60,Skid Row,61,18 And Life,1989
61,Duran Duran,62,I Don’t Want Your Love,1989
62,.38 Special,63,Second Chances,1989
63,Karyn White,64,The Way You Love Me,1989
64,Tone Loc,65,Funky Cold Medina,1989
65,Bangles,66,In Your Room,1989
66,Natalie Cole,67,Miss You Like Crazy,1989
67,Cure,68,Love Song,1989
68,Karyn White,69,Secret Rendesvous,1989
69,Jeff Healey Band,70,Angel Eyes,1989
70,Guns N’ Roses,71,Patience,1989
71,Eddie Money,72,Walk On Water,1989
72,New Kids On The Block,73,Cover Girl,1989
73,Guns N’ Roses,74,Welcom To The Jungle,1989
74,Surface,75,Shower Me With Your Love,1989
75,R.E.M.,76,Stand,1989
76,Lita Ford,77,Close My Eyes Forever,1989
77,Tiffany,78,All This Time,1989
78,Cher and Peter Cetera,79,After All,1989
79,Bobby Brown,80,Roni,1989
80,Aerosmith,81,Love In An Elevator,1989
81,Bon Jovi,82,Lay Your Hands On Me,1989
82,When In Rome,83,This Promise,1989
83,Edie Brickell and The New Bohemians,84,What I Am,1989
84,Boys Club,85,I Remember Holding You,1989
85,Guns N’ Roses,86,Paradise City,1989
86,Samantha Fox,87,Iwanna Have Some Fun,1989
87,Rick Astley,88,She Wants To Dance With Me,1989
88,Vanessa Williams,89,Dreamin’,1989
89,Babyface,90,It’s No Crime,1989
90,Alice Cooper,91,Poison,1989
91,Donna Summer,92,This Time I Know It’s For Real,1989
92,Michael Jackson,93,Smooth Criminal,1989
93,Deon Estus,94,Heavan Help Me,1989
94,Bobby Brown,95,Rock Wit’cha,1989
95,Sa-fire,96,Thinking Of You,1989
96,Expose,97,What You Don’t Know,1989
97,Ann Wilson and Robin Zander,98,Surrender To Me,1989
98,Don Henley,99,The End Of The Innocence,1989
99,Soul II Soul,100,Keep On Movin,1989
0,Wilson Phillips,1,Hold On,1990
1,Roxette,2,It Must Have Been Love,1990
2,Sinead O’Connor,3,Nothing Compares 2 U,1990
3,Bell Biv Devoe,4,Poison,1990
4,Madonna,5,Vogue,1990
5,Mariah Carey,6,Vision Of Love,1990
6,Phil Collins,7,Another Day In Paradise,1990
7,En Vogue,8,Hold On,1990
8,Billy Idol,9,Cradle Of Love,1990
9,Jon Bon Jovi,10,Blaze Of Glory,1990
10,Bell Biv Devoe,11,Do Me!,1990
11,Michael Bolton,12,How Am I Supposed To Live Without You,1990
12,Technotronic,13,Pump Up The Jam,1990
13,Paula Abdul,14,Opposites Attract,1990
14,Janet Jackson,15,Escapade,1990
15,Heart,16,All I Wanna Do Is Make Love To You,1990
16,Maxi Priest,17,Close To You,1990
17,Alannah Myles,18,Black Velvet,1990
18,Wilson Phillips,19,Release Me,1990
19,Linda Ronstadt and Aaron Neville,20,Don’t Know Much,1990
20,Lisa Stansfield,21,All Around The World,1990
21,Calloway,22,I Wanna Be Rich,1990
22,Johnny Gill,23,Rub You The Right Way,1990
23,Glenn Medeiros feat. Bobby Brown,24,She Ain’t Worth It,1990
24,Sweet Sensation,25,If Wishes Came True,1990
25,Snap,26,The Power,1990
26,Nelson,27,(Can’t Live Without Your) Love And Affection,1990
27,Taylor Dayne,28,Love Will Lead You Back,1990
28,Jane Child,29,Don’t Wanna Fall In Love,1990
29,Seduction,30,Two To Make It Right,1990
30,Linear,31,Sending All My Love,1990
31,Poison,32,Unskinny Bop,1990
32,New Kids On The Block,33,Step By Step,1990
33,Roxette,34,Dangerous,1990
34,Billy Joel,35,We Didn’t Start The Fire,1990
35,James Ingram,36,I Don’t Have The Heart,1990
36,Rod Stewart,37,Downtown Train,1990
37,Janet Jackson,38,Rhythm Nation,1990
38,Tommy Page,39,I’ll Be Your Everything,1990
39,B-52’s,40,Roam,1990
40,Jody Watley,41,Everything,1990
41,Soul II Soul,42,Back To Life,1990
42,Luther Vandross,43,Here And Now,1990
43,Janet Jackson,44,Alright,1990
44,Vanilla Ice,45,Ice Ice Baby,1990
45,Milli Vanilli,46,Blame It On The Rain,1990
46,M.C. Hammer,47,Have You Seen Her,1990
47,Taylor Dayne,48,With Every Beat Of My Heart,1990
48,Janet Jackson,49,Come Back To Me,1990
49,Michel’le,50,No More Lies,1990
50,George Michael,51,Praying For Time,1990
51,Michael Bolton,52,How Can We Be Lovers,1990
52,Phil Collins,53,Do You Remember,1990
53,After 7,54,Ready Or Not,1990
54,M.C. Hammer,55,U Can’t Touch This,1990
55,Phil Collins,56,I Wish It Would Rain Down,1990
56,Lou Gramm,57,Just Between You And Me,1990
57,Phil Collins,58,Something Happened On The Way To Heaven,1990
58,Janet Jackson,59,Black Cat,1990
59,After 7,60,Can’t Stop,1990
60,Aerosmith,61,Janie’s Got A Gun,1990
61,Digital Underground,62,The Humpty Dance,1990
62,Taylor Dayne,63,I’ll Be Your Shelter,1990
63,Tom Petty,64,Free Fallin’,1990
64,Pebbles,65,Giving You The Benefit,1990
65,Depeche Mode,66,Enjoy The Silence,1990
66,Tesla,67,Love Song,1990
67,Bad English,68,Price Of Love,1990
68,Tyler Collins,69,Girls Nite Out,1990
69,Go West,70,King Of Wishful Thinking,1990
70,Chicago,71,What Kind Of Man Would I Be?,1990
71,Skid Row,72,I Remember You,1990
72,Technotronic,73,Get Up! (Before The Night Is Over),1990
73,Gloria Estefan,74,Here We Are,1990
74,Faith No More,75,Epic,1990
75,Mariah Carey,76,Love Takes Time,1990
76,Cher,77,Just Like Jesse James,1990
77,B-52s,78,Love Shack,1990
78,Milli Vanilli,79,All Or Nothing,1990
79,Dino,80,Romeo,1990
80,Black Box,81,Everybody Everybody,1990
81,Billy Joel,82,I Go To Extremes,1990
82,Babyface,83,Whip Appeal,1990
83,Paul Young,84,Oh Girl,1990
84,D-Mob With Cathy Dennis,85,C’mon And Get My Love,1990
85,Paula Abdul,86,(It’s Just) The Way That You Love Me,1990
86,The Cover Girls,87,We Can’t Go Wrong,1990
